日期	本项目	ICU	类型
1987-08-26	7月3	闰7月3	仅标号不同
1987-08-27	7月4	闰7月4	仅标号不同
1987-08-28	7月5	闰7月5	仅标号不同
1987-08-29	7月6	闰7月6	仅标号不同
1987-08-30	7月7	闰7月7	仅标号不同
1987-08-31	7月8	闰7月8	仅标号不同
1987-09-01	7月9	闰7月9	仅标号不同
1987-09-02	7月10	闰7月10	仅标号不同
1987-09-03	7月11	闰7月11	仅标号不同
1987-09-04	7月12	闰7月12	仅标号不同
1987-09-05	7月13	闰7月13	仅标号不同
1987-09-06	7月14	闰7月14	仅标号不同
1987-09-07	7月15	闰7月15	仅标号不同
1987-09-08	7月16	闰7月16	仅标号不同
1987-09-09	7月17	闰7月17	仅标号不同
1987-09-10	7月18	闰7月18	仅标号不同
1987-09-11	7月19	闰7月19	仅标号不同
1987-09-12	7月20	闰7月20	仅标号不同
1987-09-13	7月21	闰7月21	仅标号不同
1987-09-14	7月22	闰7月22	仅标号不同
1987-09-15	7月23	闰7月23	仅标号不同
1987-09-16	7月24	闰7月24	仅标号不同
1987-09-17	7月25	闰7月25	仅标号不同
1987-09-18	7月26	闰7月26	仅标号不同
1987-09-19	7月27	闰7月27	仅标号不同
1987-09-20	7月28	闰7月28	仅标号不同
1987-09-21	7月29	闰7月29	仅标号不同
1987-09-22	7月30	闰7月30	仅标号不同
1999-01-17	12月1	11月30	日序不同
1999-01-18	12月2	12月1	日序不同
1999-01-19	12月3	12月2	日序不同
1999-01-20	12月4	12月3	日序不同
1999-01-21	12月5	12月4	日序不同
1999-01-22	12月6	12月5	日序不同
1999-01-23	12月7	12月6	日序不同
1999-01-24	12月8	12月7	日序不同
1999-01-25	12月9	12月8	日序不同
1999-01-26	12月10	12月9	日序不同
1999-01-27	12月11	12月10	日序不同
1999-01-28	12月12	12月11	日序不同
1999-01-29	12月13	12月12	日序不同
1999-01-30	12月14	12月13	日序不同
1999-01-31	12月15	12月14	日序不同
1999-02-01	12月16	12月15	日序不同
1999-02-02	12月17	12月16	日序不同
1999-02-03	12月18	12月17	日序不同
1999-02-04	12月19	12月18	日序不同
1999-02-05	12月20	12月19	日序不同
1999-02-06	12月21	12月20	日序不同
1999-02-07	12月22	12月21	日序不同
1999-02-08	12月23	12月22	日序不同
1999-02-09	12月24	12月23	日序不同
1999-02-10	12月25	12月24	日序不同
1999-02-11	12月26	12月25	日序不同
1999-02-12	12月27	12月26	日序不同
1999-02-13	12月28	12月27	日序不同
1999-02-14	12月29	12月28	日序不同
1999-02-15	12月30	12月29	日序不同
2012-08-17	7月1	6月30	日序不同
2012-08-18	7月2	7月1	日序不同
2012-08-19	7月3	7月2	日序不同
2012-08-20	7月4	7月3	日序不同
2012-08-21	7月5	7月4	日序不同
2012-08-22	7月6	7月5	日序不同
2012-08-23	7月7	7月6	日序不同
2012-08-24	7月8	7月7	日序不同
2012-08-25	7月9	7月8	日序不同
2012-08-26	7月10	7月9	日序不同
2012-08-27	7月11	7月10	日序不同
2012-08-28	7月12	7月11	日序不同
2012-08-29	7月13	7月12	日序不同
2012-08-30	7月14	7月13	日序不同
2012-08-31	7月15	7月14	日序不同
2012-09-01	7月16	7月15	日序不同
2012-09-02	7月17	7月16	日序不同
2012-09-03	7月18	7月17	日序不同
2012-09-04	7月19	7月18	日序不同
2012-09-05	7月20	7月19	日序不同
2012-09-06	7月21	7月20	日序不同
2012-09-07	7月22	7月21	日序不同
2012-09-08	7月23	7月22	日序不同
2012-09-09	7月24	7月23	日序不同
2012-09-10	7月25	7月24	日序不同
2012-09-11	7月26	7月25	日序不同
2012-09-12	7月27	7月26	日序不同
2012-09-13	7月28	7月27	日序不同
2012-09-14	7月29	7月28	日序不同
2012-09-15	7月30	7月29	日序不同
2018-11-07	9月30	10月1	日序不同
2018-11-08	10月1	10月2	日序不同
2018-11-09	10月2	10月3	日序不同
2018-11-10	10月3	10月4	日序不同
2018-11-11	10月4	10月5	日序不同
2018-11-12	10月5	10月6	日序不同
2018-11-13	10月6	10月7	日序不同
2018-11-14	10月7	10月8	日序不同
2018-11-15	10月8	10月9	日序不同
2018-11-16	10月9	10月10	日序不同
2018-11-17	10月10	10月11	日序不同
2018-11-18	10月11	10月12	日序不同
2018-11-19	10月12	10月13	日序不同
2018-11-20	10月13	10月14	日序不同
2018-11-21	10月14	10月15	日序不同
2018-11-22	10月15	10月16	日序不同
2018-11-23	10月16	10月17	日序不同
2018-11-24	10月17	10月18	日序不同
2018-11-25	10月18	10月19	日序不同
2018-11-26	10月19	10月20	日序不同
2018-11-27	10月20	10月21	日序不同
2018-11-28	10月21	10月22	日序不同
